ID,LogFC
PCDHB12,-1.951832759
PCDHB14,-1.294224957
PCDHB15,-1.761729876
PCDHB2,-2.675315124
PCDHB3,-2.709262456
PCDHB4,-1.993055422
PCDHB5,-1.320220165
PCDHB6,-2.853652365
PCDHB7,-2.931654877
PCDHB8,-2.709262456
PCDHGA2,-1.593785238
PDCL3,-0.761729876
PDLIM2,0.366025671
PDRG1,-1.625846448
PDZD4,1.979237649
PGC,-5.779651784
PHEX,-3.457723689
PHTF1,-1.231215159
PHTF2,-1.231215159
PIH1D1,-0.084771591
PIK3IP1,0.817283359
PITRM1,0.078329211
PLXDC2,0.718599084
PMFBP1,-3.931654877
PODXL2,1.158163385
POPDC2,-5.516617378
PPP4R4,-3.194689283
PPP6R2,0.820261058
PRDM11,-1.024764282
PRG4,-8.101579879
PRICKLE3,-3.057185759
PROSER1,-1.194689283
PROX2,-1.931654877
PRR11,-1.415079352
PRRC2C,1.19304087
PRUNE2,1.68958301
PTCD2,-2.516617378
PTK7,-1.64214826
PYROXD1,-1.797799131
PYROXD2,-1.516617378
QPCTL,-1.91175532
QSER1,-0.609726782
R3HCC1,0.337211974
R3HDML,-4.931654877
RAB40AL,-3.057185759
RABL2B,0.740770465
RARRES1,-2.853652365
RASL10A,0.037971474
RASL11A,-3.194689283
RBFA,-1.779651784
RCAN3,-1.779651784
RCOR3,0.560198219
RECQL,-1.546991027
RERGL,-3.294224957
RFX2,-0.58588004
RFX3,0.942814241
RFX4,0.991177262
RHBDD2,2.762606266
RHBDD3,-1.546991027
RHBDF1,-1.692188943
RHBDL1,-0.962028526
RIMBP2,-0.601733992
RIMS3,2.224849608
RMDN2,-1.779651784
RNH1,0.774937068
RPAP1,-1.124299955
RPF1,-1.090352623
RPUSD1,-0.717875586
RRP12,-0.464955258
RRP15,-2.609726782
RSPH4A,-2.81617766
RSPH6A,-6.516617378
RUNDC3A,2.121215024
S100PBP,-0.509122841
SASH1,2.140403271
SAYSD1,-2.194689283
SBNO2,-0.993055422
SCPEP1,-1.761729876
SEC14L3,-4.194689283
SEC14L5,0.19304087
SENP6,1.374153552
SERTAD4,-4.779651784
SEZ6,0.731310135
SEZ6L,1.764153392
SH3PXD2A,0.793237885
SIAE,-0.182716641
SIDT1,-1.562421068
SLC7A6OS,-1.046297443
SLITRK3,-0.91175532
SMIM8,-1.609726782
SNPH,1.614382112
SPA17,-2.892126513
SPAG4,-3.457723689
SPAG7,0.464474159
SPATA20,-0.079212066
SPATS2,-0.313677319
SPEF1,-2.546991027
SPINT3,-7.101579879
SPOCK2,3.500655023
SRBD1,-2.346692377
SRPX,-1.035490688
SRRD,-1.387334361
SSPN,0.382235899
ST7L,-1.609726782
STAU2,1.58667043
STOML1,0.273459553
STON1-GTF2A1L,-4.779651784
STPG1,-1.387334361
SUCO,-0.625846448
SUPT20H,-1.360112892
SUSD1,-1.307164012
SUSD2,-1.472223259
SWT1,-1.294224957
SYNDIG1,0.127238812
SYNGR2,0.771864234
SYNGR4,-8.101579879
SYPL1,0.229336999
TANGO6,-1.472223259
TARBP1,-0.752851724
TASP1,-1.268689865
TBC1D12,-0.084771591
TBC1D19,-0.675315124
TBC1D22A,-0.633974329
TBC1D22B,-1.457723689
TBC1D30,-1.231215159
TBCCD1,-1.360112892
TCEANC2,-1.53172427
TEKT2,-3.779651784
TEX14,-5.101579879
TFCP2L1,-3.457723689
THADA,-1.346692377
THAP3,-0.692188943
THEG,-8.101579879
TLDC2,-3.194689283
TM7SF3,1.127238812
TM9SF1,-1.726540447
TM9SF3,0.750169163
TM9SF4,0.370095336
TMC5,-4.194689283
TMCC3,0.08824468
TMCO6,-3.101579879
TMED8,0.017361194
TMEM104,-1.281400916
TMEM109,0.141594105
TMEM131,0.083295464
TMEM147,0.843863958
TMEM14A,0.127238812
TMEM156,-2.892126513
TMEM161A,-1.457723689
TMEM176A,0.012162287
TMEM176B,0.251566947
TMEM205,1.477736059
TMEM230,1.668257965
TMEM245,0.535044742
TMEM248,0.961815203
TMEM260,-1.546991027
TMEM38A,-0.333395554
TMEM40,-3.578017923
TMEM54,0.324684876
TMEM59,2.425897127
TMEM59L,3.015413799
TMEM98,0.820261058
TNMD,-6.516617378
TOX2,-0.921670789
TP53TG5,-2.709262456
TPD52L2,0.708991756
TPSD1,-5.294224957
TRAF3IP3,-3.014117037
TRAPPC13,-1.64214826
TRHDE,-2.779651784
TRIB2,-0.019430837
TRMT1L,-0.972296862
TRMT2A,-1.124299955
TRO,-0.237393734
TSHZ3,-2.035490688
TSPO2,-3.779651784
TTLL1,-1.194689283
TTLL12,-0.262376091
TTLL2,-8.101579879
TTLL5,-0.268689865
TULP2,-5.516617378
TXNDC15,0.626340576
TXNDC16,-1.124299955
TXNL1,0.636512381
UBFD1,0.188438968
UPK2,-8.101579879
URGCP,0.141594105
VCPKMT,-3.294224957
VPS13D,0.386260155
VPS9D1,0.286437407
VWA5A,-0.617764101
VWA8,-0.170842541
WDR83OS,1.42394093
WFDC1,-2.320220165
WSCD2,-1.218936829
WWC3,-0.366870258
XPNPEP1,-1.231215159
YBX2,-4.779651784
YBX3,-0.408092921
YIPF4,-0.225062932
YLPM1,0.915228409
YPEL3,2.609226555
YTHDC2,-0.882411358
ZBED4,-1.658636383
ZC3HC1,-1.951832759
ZCCHC17,0.817283359
ZCCHC8,-1.373659424
ZCWPW1,-2.675315124
ZFAND6,1.06081145
ZFR2,-0.91175532
ZNF280C,-2.546991027
ZNF346,-0.516617378
ZNF644,0.165206662
ZNF831,-3.194689283
ZZEF1,-0.658636383
